What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Business & Economics,UK,UK,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,No,Yes,< 5 ,30 lakhs and over,Combined self /parent funding and bank loan,Own business,No,,,Yes,NA,0
Vocational,,,Other,UK,Ireland,New Zealand,01-09-21,No,,Working professional,4 - 6 years of work exp,1987,Yes,No,,10 - 20 lakhs,Sponsorship by relatives,Own business,No,,,Yes,NA,0
Undergraduate,,,Computer Science and Information Technology,UK,,,01-01-21,No,,Working professional,< 1 year of work exp,1997,Yes,Yes,> 10,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,no,0
Postgraduate,,,Other,UK,,,01-09-22,No,,Student,,1999,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,USA,USA,USA,01-09-21,Yes,Yes,Working professional,7+ years of work exp,1985,Yes,No,,30 lakhs and over,Self funding,Not provided,No,,,Yes,not in touch with anyone,0
Undergraduate,,,Other,UK,Australia,Canada,01-01-00,No,,Working professional,1 - 3 years of work exp,14061993,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,NO,0
Undergraduate,,,Sciences,UK,,,01-01-21,No,,Student,,2001,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Other,Canada,Ireland,New Zealand,01-09-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,No,,10 - 20 lakhs,Bank loan,Not provided,No,,,No,Not contacted any one,0
Undergraduate,,,Other,UK,Ireland,Canada,01-01-21,Yes,No,Student,,2002,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,Rivyareet Overseas,0
Vocational,,,Other,Canada,Ireland,Ireland,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,No,No,,Not provided,Bank loan,In-Service,No,,,No,Na,0
Postgraduate,,,Other,USA,Ireland,New Zealand,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Other,Not provided,Yes,IELTS,7.5,Yes,leat scholarship consultant,0
Postgraduate,,,Other,Canada,Canada,Canada,01-01-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,Yes,< 5 ,10 - 20 lakhs,Bank loan,Own business,Yes,IELTS,6,Yes,Not in touch with anyone,1
Postgraduate,,,Business & Economics,UK,Canada,Australia,01.01.2021,No,,Student,,22061996,Yes,No,,10 lakhs or under,Not provided,Own business,No,,,Yes,No did not contact ,0
Vocational,,,Engineering,Canada,,,01-05-21,Yes,No,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,7,Yes,,1
Undergraduate,,,Languages,UK,Canada,Ireland,01-09-22,Yes,No,Student,,2004,Yes,No,,Not provided,Parents asset,Not provided,No,,,No,"Chopra, Ecucoach. ",0
Vocational,,,Engineering,Canada,New Zealand,UK,01-09-21,No,,Working professional,< 1 year of work exp,1995,No,Yes,< 5 ,10 - 20 lakhs,Bank loan,Own business,No,,,Yes,Not in touch with anyone,0
Other,,,Other,USA,,,01-09-21,No,,Student,,1980,Yes,No,,Not provided,Not provided,Not provided,No,,,No,,0
Postgraduate,,,Other,UK,Ireland,Canada,01-09-21,No,,Working professional,< 1 year of work exp,1997,Yes,Yes,< 5 ,20 - 30 lakhs,Bank loan,In-Service,No,,,Yes,,0
Undergraduate,,,Engineering,USA,Canada,Canada,01-09-21,No,,Student,,2002,No,Yes,< 5 ,10 lakhs or under,Parents asset,In-Service,No,,,No,Not in touch ,0
Postgraduate,,,Other,Australia,USA,UK,01-09-21,No,,Student,,2000,No,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,No,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,UK,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1996,Yes,No,,30 lakhs and over,Bank loan,In-Service,Yes,IELTS,8,Yes,no,0
Vocational,,,Other,Australia,USA,New Zealand,01-09-21,No,,Student,,1997,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,Own business,Yes,Other,8,Yes,No,0
Postgraduate,,,Other,Ireland,New Zealand,Australia,01-09-22,No,,Working professional,< 1 year of work exp,1995,Yes,No,,Not provided,Not provided,Own business,No,,,No,None,0
Undergraduate,,,Other,USA,UK,,01-01-21,No,,Student,,1992,No,No,,Not provided,Other,In-Service,No,,,Yes,None yet.,0
Postgraduate,,,Engineering,USA,,,01-09-21,No,,Student,,2007,No,Yes,< 5 ,Not provided,Not provided,In-Service,No,,,Yes,no,0
Postgraduate,,,Other,USA,Canada,Australia,01.01.2021,No,,Student,,16021999,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,No did not contact,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,1999,No,No,,Not provided,Combined self /parent funding and bank loan,,No,,,No,,0
Postgraduate,,,Media & Communications,USA,UK,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,Yes,< 5 ,10 lakhs or under,Self funding,Own business,No,,,No,no,0
Postgraduate,,,Other,USA,Canada,Australia,01-09-21,No,,Working professional,< 1 year of work exp,1997,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,no,0
Postgraduate,,,Other,USA,UK,,01-01-21,No,,Student,,1996,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,NA,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,UK,01-09-21,No,,Working professional,< 1 year of work exp,1997,Yes,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,None,0
Undergraduate,,,Engineering,Canada,Australia,USA,01-01-21,No,,Student,,2000,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,not in touch with anyone,0
Postgraduate,,,Computer Science and Information Technology,USA,Australia,UK,01-09-21,No,,Student,,1999,Yes,No,,30 lakhs and over,Parents asset,In-Service,No,,,No,NO,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Other,UK,,,01-01-21,No,,Student,,1998,No,No,,Not provided,Combined self /parent funding and bank loan,,No,,,No,,0
Postgraduate,,,Other,USA,Canada,UK,01.09.2021,No,,Working professional,1 - 3 years of work exp,14091997,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,No did not contact,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,UK,01-09-21,No,,Student,,2000,No,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,No,0
Postgraduate,,,Engineering,USA,UK,,01-09-21,No,,Student,,1998,Yes,Yes,> 10,Not provided,Parents asset,In-Service,Yes,GRE,8,No,"UniAbroad, Valmiki ",0
Vocational,,,Computer Science and Information Technology,Canada,,,25-06-05,No,,Student,,2003,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None yet.,0
Postgraduate,,,Engineering,USA,Canada,Australia,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Not provided,In-Service,No,,,No,None,0
