What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Business & Economics,UK,USA,Canada,01-09-21,No,,Student,,2000,No,Yes,< 5 ,30 lakhs and over,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Bio technology ,UK,,,01-01-21,No,,Student,,2000,No,Yes,> 10,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Postgraduate,,,Sciences,UK,UK,UK,01-09-21,No,,Student,,1998,No,No,,Not provided,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Engineering,USA,USA,,01-01-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,,Yes,GRE,322,No,,0
Postgraduate,,,Computer Science and Information Technology,UK,USA,USA,01-09-21,No,,Working professional,7+ years of work exp,1989,Yes,No,,Not provided,Bank loan,In-Service,Yes,Other,81,Yes,None,0
Undergraduate,,,Law/legal studies,USA,,,01-01-21,No,,Student,,2005,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Undergraduate,,,Engineering,USA,,,01-09-21,No,,Student,,2002,No,No,,10 - 20 lakhs,Parents asset,,No,,,No,,0
Undergraduate,,,Computer Science and Information Technology,USA,Canada,UK,01-01-21,Yes,No,Student,,2001,No,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,None,0
Postgraduate,,,Engineering,Australia,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Psychology,USA,UK,Australia,01.09.2023,No,,Student,,1996,Yes,No,,Not provided,Other,Own business,No,,,Yes,None,0
Postgraduate,,,Business & Economics,Australia,Australia,UK,01-09-21,Yes,No,Student,,1998,Yes,Yes,06-Oct,Not provided,Parents asset,Own business,No,,,Yes,"scool villv , apic, ucw",0
Postgraduate,,,Computer Science and Information Technology,New Zealand,,,01-09-21,No,,Student,,1996,Yes,No,,10 lakhs or under,Parents asset,,No,,,No,,0
Vocational,,,Business & Economics,Canada,Canada,Canada,27-06-05,No,,Student,,2001,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,None,0
Undergraduate,,,Engineering,Canada,,,01-09-21,Yes,No,Student,,2000,Yes,No,,Not provided,Parents asset,,Yes,IELTS,6.5,Yes,,0
Postgraduate,,,Business & Economics,Canada,UK,UK,01-01-21,Yes,No,Working professional,< 1 year of work exp,1995,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,y Axis ,0
Postgraduate,,,Engineering,Canada,UK,Australia,01-09-21,No,,Student,,2000,No,No,,Not provided,Other,,No,,,Yes,,0
Undergraduate,,,Psychology,UK,USA,Canada,01-09-21,No,,Student,,2003,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,Not remember,0
Postgraduate,,,Engineering,UK,UK,UK,01-09-21,Yes,Yes,Student,,1994,Yes,No,,10 lakhs or under,Bank loan,Own business,No,,,No,,0
Postgraduate,,,Finance,UK,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Vocational,,,Management,New Zealand,Ireland,,01.09.2023,No,,Working professional,7+ years of work exp,1984,Yes,Yes,06-Oct,10 - 20 lakhs,Self funding,,No,,,No,,0
Undergraduate,,,Business & Economics,UK,,,01-01-21,No,,Student,,2002,Yes,No,,10 lakhs or under,Parents asset,,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,UK,,01-09-21,No,,Student,,2000,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Political Science,Australia,,,01-09-22,No,,Student,,1997,No,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,,,01-01-21,Yes,No,Student,,1998,Yes,Yes,< 5 ,Not provided,Parents asset,,Yes,TOEFL,93,Yes,,1
Postgraduate,,,Education,UK,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1989,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Artificial intelligence,Canada,USA,Australia,01-09-21,No,,Student,,2002,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,Australia,,,01-09-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Bank loan,,No,,,Yes,,0
Postgraduate,,,Nutrition,Ireland,,,01-01-21,No,,Student,,1998,No,No,,Not provided,Bank loan,,No,,,No,,0
Postgraduate,,,Engineering,Ireland,Australia,Australia,01-09-21,No,,Student,,1999,Yes,Yes,> 10,20 - 30 lakhs,Bank loan,Own business,No,,,No,None,0
Postgraduate,,,Biotechnology,Australia,Canada,UK,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Other,In-Service,No,,,No,None,0
Undergraduate,,,Technical Course,Canada,,,01-09-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Hospitality,Canada,Australia,Australia,01-01-21,No,,Student,,1998,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Vocational,,,Computer Science and Information Technology,Canada,Canada,Canada,01.01.2023,No,,Working professional,7+ years of work exp,1985,Yes,No,,10 lakhs or under,Self funding,Not provided,No,,,Yes,None,0
Postgraduate,,,Computer Science and Information Technology,UK,Canada,USA,01-01-21,No,,Student,,1995,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,none,0
Vocational,,,Public health,Australia,USA,Canada,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Business Management,USA,Canada,Australia,01-09-21,No,,Student,,1993,No,No,,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Postgraduate,,,Data Analytics,UK,,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1994,Yes,No,,10 lakhs or under,Sponsorship by relatives,,No,,,Yes,,0
Undergraduate,,,Engineering,USA,,,01-01-21,No,,Student,,2003,No,No,,30 lakhs and over,Parents asset,,No,,,No,,0
Undergraduate,,,Dental Surgery,USA,,,01-09-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Management,UK,,,01-09-21,No,,Student,,1999,Yes,Yes,< 5 ,10 - 20 lakhs,Bank loan,,No,,,Yes,,0
Undergraduate,,,Engineering,Australia,,,01.01.2023,No,,Student,,2001,No,No,,20 - 30 lakhs,Parents asset,,No,,,No,,0
Postgraduate,,,Business management,UK,,,01-09-21,No,,Student,,2000,Yes,Yes,< 5 ,20 - 30 lakhs,Bank loan,,No,,,No,,0
Vocational,,,Admin,Canada,UK,,01-01-22,No,,Working professional,4 - 6 years of work exp,1989,Yes,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Undergraduate,,,Engineering,New Zealand,,,01-01-21,No,,Student,,2002,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Undergraduate,,,Engineering,Australia,Canada,UK,01.01.2023,No,,Student,,2002,No,No,,Not provided,Other,In-Service,No,,,No,,0
Postgraduate,,,Land & Environment,Australia,New Zealand,Ireland,01-01-21,No,,Student,,1996,Yes,No,,10 - 20 lakhs,Other,In-Service,No,,,Yes,,0
Postgraduate,,,Construction Management,New Zealand,,,01-09-21,No,,Student,,1996,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Tourism,Australia,USA,,01-09-21,No,,Student,,1995,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Management,Australia,,,01-09-22,No,,Student,,1998,No,Yes,< 5 ,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Vocational,,,Engineering,Canada,,,01-09-21,No,,Student,,1999,Yes,Yes,< 5 ,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,,1
Undergraduate,,,Nursing,Canada,,,01-01-21,No,,Student,,2001,No,No,,10 - 20 lakhs,Parents asset,,No,,,No,,0
Postgraduate,,,Sciences,Canada,,,01-09-21,No,,Student,,2001,No,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Sciences,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Vocational,,,Engineering,Canada,,,01-09-21,No,,Student,,2004,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Business Mangement,Canada,,,01-09-21,No,,Student,,1999,Yes,Yes,< 5 ,10 lakhs or under,Parents asset,,No,,,Yes,,0
Postgraduate,,,Bio Informatics,Canada,,,01-01-21,Yes,No,Student,,1998,Yes,No,,Not provided,Bank loan,,No,,,No,,0
Vocational,,,Nursing,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,13,Yes,No,,10 lakhs or under,Parents asset,,No,,,Yes,,0
Postgraduate,,,Education,UK,USA,,01-01-21,No,,Working professional,7+ years of work exp,1987,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Pharmacy,USA,UK,Ireland,01-09-21,No,,Student,,1997,No,No,,Not provided,Other,Not provided,No,,,No,,0
Postgraduate,,,Engineering,USA,Australia,Canada,01-09-21,No,,Student,,1998,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,Global Counsellor,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,,01.01.2023,No,,Working professional,1 - 3 years of work exp,1996,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Not provided,No,,,Yes,,0
Vocational,,,Literature,UK,Ireland,,01-09-21,No,,Student,,1996,No,No,,Not provided,Other,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,UK,,,01-01-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,MBA,Canada,,,01-09-21,Yes,No,Student,,1996,Yes,No,,Not provided,Self funding,In-Service,Yes,IELTS,6,Yes,,0
Postgraduate,,,Other,UK,Canada,,01-09-21,No,,Student,,2000,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Law/legal studies,UK,Australia,Canada,01-09-21,No,,Student,,1997,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Undergraduate,,,Engineering,UK,Canada,USA,01-09-21,No,,Working professional,1 - 3 years of work exp,2002,Yes,No,,Not provided,Other,Own business,No,,,Yes,None,0
Postgraduate,,,Social Work,UK,Australia,,01-09-21,No,,Student,,2000,No,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Sciences,UK,Australia,Canada,01-09-21,No,,Student,,1997,No,No,,Not provided,Other,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,UK,Canada,New Zealand,01-09-21,No,,Working professional,7+ years of work exp,1988,Yes,No,,30 lakhs and over,Self funding,Not provided,No,,,No,In touch with Europe study center and Indian overseas,0
Undergraduate,,,Optometry,UK,Canada,,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,5.5,No,,0
Postgraduate,,,Media & Communications,UK,Australia,USA,01-09-21,No,,Student,,1999,No,No,,30 lakhs and over,Bank loan,In-Service,No,,,No,None,0
Postgraduate,,,Hospital Management,UK,Australia,Ireland,01-01-21,No,,Working professional,< 1 year of work exp,1997,Yes,No,,10 lakhs or under,Bank loan,In-Service,No,,,No,None,0
Postgraduate,,,Psychology,UK,Ireland,,01-09-21,No,,Student,,2001,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Vocational,,,Business & Economics,UK,USA,USA,01-09-21,No,,Working professional,1 - 3 years of work exp,1993,No,No,,Not provided,Parents asset,Own business,Yes,GMAT,345,No,None,0
Postgraduate,,,Computer Science and Information Technology,USA,Australia,Canada,01-09-21,No,,Student,,1990,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Undergraduate,,,Computer Science and Information Technology,Australia,Australia,Australia,01-09-21,No,,Student,,2002,Yes,Yes,> 10,10 lakhs or under,Parents asset,Own business,Yes,Other,62,Yes,None,0
Vocational,,,Other,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,6,No,,0
Postgraduate,,,Law/legal studies,Canada,Canada,Canada,01-09-21,No,,Student,,1996,Yes,Yes,> 10,10 - 20 lakhs,Parents asset,In-Service,No,,,No,In touch with Canam Consultants andAISS consultantS,0
Vocational,,,Computer Science and Information Technology,Canada,Canada,Canada,01-05-21,Yes,No,Student,,1999,Yes,No,,Not provided,Bank loan,In-Service,No,,,Yes,None,0
Vocational,,,Business & Economics,Canada,,,01-05-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,7,Yes,,0
Postgraduate,,,MBA,Canada,New Zealand,,01-01-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,USA,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,None,0
Undergraduate,,,Sciences,UK,,,01-09-21,No,,Student,,2003,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,Canada,Canada,01-01-21,No,,Working professional,< 1 year of work exp,1998,Yes,Yes,06-Oct,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6.5,Yes,None,1
Postgraduate,,,Psychology,UK,UK,,01-09-21,No,,Student,,2002,No,No,,Not provided,Other,Own business,No,,,No,,0
Postgraduate,,,Engineering,USA,UK,UK,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Vocational,,,Media & Communications,Canada,USA,,01-01-22,Yes,No,Student,,2000,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Agriculture,Canada,New Zealand,Australia,01-01-21,Yes,No,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Vocational,,,Business & Economics,USA,Canada,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,6.5,No,,0
Undergraduate,,,Engineering,USA,Australia,,01-01-21,No,,Student,,2002,No,No,,Not provided,Other,Not provided,No,,,Yes,,0
Postgraduate,,,Architecture & Built Environment Studies,UK,,,01-09-21,No,,Student,,1999,No,No,,Not provided,Other,Own business,No,,,No,,0
Postgraduate,,,Other,USA,,,01-09-21,No,,Student,,1997,No,No,,Not provided,Other,Own business,No,,,No,,0
Postgraduate,,,International Relation,UK,Ireland,Ireland,01-09-21,Yes,No,Student,,1999,Yes,No,,Not provided,Parents asset,Own business,No,,,No,None,0
Undergraduate,,,Other,USA,Canada,,01-05-21,No,,Student,,1997,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Public Health,USA,Canada,,01-01-21,No,,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Literature,Canada,Australia,,01-09-22,No,,Student,,1989,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Horticulture,UK,Canada,Australia,01-01-21,No,,Student,,1995,No,No,,10 lakhs or under,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Computer Science and Information Technology,UK,USA,USA,01-01-21,No,,Working professional,7+ years of work exp,1989,Yes,No,,10 - 20 lakhs,Self funding,Not provided,No,,,Yes,not remember ,0
Postgraduate,,,Sciences,UK,Australia,Canada,01-01-21,No,,Student,,1997,No,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,Yes,not remember,0
Postgraduate,,,Social work,UK,Canada,Australia,01-09-21,No,,Student,,1998,No,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Human Resource,Canada,USA,UK,01-09-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,10 lakhs or under,Parents asset,Not provided,No,,,Yes,None,0
Vocational,,,Computer Science and Information Technology,Canada,USA,USA,01-01-21,No,,Student,,1996,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Media & Communications,Canada,Canada,Canada,01-09-21,No,,Working professional,7+ years of work exp,1988,No,No,,Not provided,Self funding,In-Service,No,,,Yes,None,0
Postgraduate,,,Business & Economics,UK,UK,UK,01-01-21,Yes,No,Student,,1999,Yes,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Vocational,,,Business & Economics,UK,USA,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1999,No,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Engineering,UK,Canada,New Zealand,01-05-21,No,,Student,,1999,No,No,,10 lakhs or under,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Engineering,USA,Ireland,Ireland,01-09-21,No,,Student,,26190001,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,Reinissance Education,0
Postgraduate,,,Engineering,Canada,USA,UK,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Vocational,,,Hospitality,Canada,Australia,Australia,01-01-21,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,5.5,Yes,None,0
Postgraduate,,,physiotherapy,Canada,Canada,Canada,01-01-21,No,,Working professional,4 - 6 years of work exp,1995,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,7,Yes,None,0
Postgraduate,,,Business & Economics,Canada,USA,Australia,01-01-21,No,,Student,,1997,Yes,No,,20 - 30 lakhs,Bank loan,In-Service,No,,,No,None,0
Postgraduate,,,Psychology,Australia,UK,Canada,01-01-21,Yes,No,Student,,2000,No,No,,20 - 30 lakhs,Other,In-Service,No,,,Yes,none,0
Postgraduate,,,Computer Science and Information Technology,Canada,Australia,Ireland,01-01-21,No,,Working professional,4 - 6 years of work exp,1994,Yes,No,,Not provided,Bank loan,Own business,No,,,No,None,0
Undergraduate,,,Sciences,UK,Canada,New Zealand,01-09-22,No,,Student,,1998,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Media & Communications,USA,Canada,New Zealand,01-09-21,No,,Student,,2000,No,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Undergraduate,,,Sciences,Canada,Australia,UK,01-01-21,No,,Student,,2002,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,Canada,Australia,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Vocational,,,Engineering,Canada,Canada,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,10 - 20 lakhs,Other,In-Service,No,,,Yes,None,0
Postgraduate,,,Cyber Security,Australia,Australia,Australia,01-09-21,Yes,No,Student,,1996,Yes,Yes,< 5 ,30 lakhs and over,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Business & Economics,Canada,UK,Australia,01-01-21,No,,Working professional,< 1 year of work exp,1995,Yes,Yes,> 10,10 lakhs or under,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,Business & Economics,Canada,Ireland,UK,01-01-21,Yes,No,Working professional,1 - 3 years of work exp,1996,Yes,No,,30 lakhs and over,Bank loan,Own business,No,,,Yes,None,0
Postgraduate,,,MBA,UK,UK,,01-09-21,No,,Working professional,4 - 6 years of work exp,1989,No,No,,10 - 20 lakhs,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Health Sciences,UK,UK,UK,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1992,Yes,No,,Not provided,Other,Own business,No,,,No,None,0
Postgraduate,,,MBA,Canada,New Zealand,,01-01-21,No,,Working professional,1 - 3 years of work exp,1991,Yes,No,,Not provided,Self funding,Own business,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,USA,Australia,,01-09-21,Yes,No,Student,,1998,Yes,Yes,< 5 ,Not provided,Self funding,Own business,Yes,TOEFL,118,Yes,,1
Undergraduate,,,Gaming,USA,Canada,,01-01-21,No,,Student,,2005,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Vocational,,,Digital Marketing,Canada,UK,USA,01-01-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-01-21,No,,Student,,1992,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,MBA,Canada,USA,,01-09-21,Yes,No,Student,,1999,Yes,No,,10 - 20 lakhs,Self funding,Own business,No,,,Yes,,0
Undergraduate,,,Business & Economics,Australia,UK,UK,01-09-21,No,,Student,,2001,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,MBA,UK,Canada,,01-09-21,No,,Student,,1999,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,UK,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1999,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,None,0
Postgraduate,,,MBA,Canada,Australia,,01-09-21,Yes,No,Working professional,< 1 year of work exp,1997,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,7,No,,1
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Student,,1987,Yes,No,,10 - 20 lakhs,Self funding,Own business,No,,,No,None,0
Undergraduate,,,Commerce,Australia,Canada,,01-09-21,No,,Student,,1998,Yes,No,,10 lakhs or under,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Other,Own business,No,,,Yes,,0
Postgraduate,,,English Hon.,Australia,,,01-01-21,No,,Student,,1996,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Accounting,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1991,Yes,No,,10 - 20 lakhs,Self funding,Own business,Yes,IELTS,8,Yes,,0
Vocational,,,Nursing,Canada,,,01-09-21,Yes,No,Student,,2002,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Vocational,,,Engineering,UK,UK,UK,01-09-21,No,,Working professional,< 1 year of work exp,1990,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Business & Economics,USA,Canada,,01-01-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,Not provided,Parents asset,Not provided,Yes,IELTS,7,Yes,,0
Postgraduate,,,Media & Communications,Canada,Canada,Canada,01-09-21,No,,Student,,2001,No,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Other,UK,Canada,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,USA,USA,01-01-21,Yes,Yes,Student,,1999,Yes,No,,30 lakhs and over,Parents asset,Own business,Yes,GRE,320,Yes,None,0
Postgraduate,,,Computer Science and Information Technology,USA,UK,,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Other,Canada,Canada,Canada,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Ireland,Ireland,Ireland,01-01-21,No,,Working professional,7+ years of work exp,1989,Yes,No,,Not provided,Bank loan,Own business,No,,,No,None,0
Undergraduate,,,Baking,New Zealand,Canada,UK,01-05-21,No,,Student,,2003,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Undergraduate,,,Other,Australia,,,01-05-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Australia,,,01-09-21,No,,Student,,1997,No,No,,Not provided,Self funding,In-Service,No,,,No,,0
Vocational,,,English,Australia,Canada,,01-01-21,No,,Student,,1997,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Law/legal studies,UK,Canada,,01-09-21,No,,Student,,1994,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,MBA,UK,Canada,Ireland,01-09-21,No,,Working professional,4 - 6 years of work exp,1995,No,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Vocational,,,Computer Science and Information Technology,Canada,,,01-05-21,No,,Working professional,< 1 year of work exp,1997,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Supply Chain Management,Ireland,New Zealand,UK,01-09-21,Yes,No,Working professional,4 - 6 years of work exp,1995,Yes,No,,10 - 20 lakhs,Self funding,In-Service,No,,,No,y axis  and fateh  education,0
Postgraduate,,,Biochemistry,Canada,Australia,UK,01-01-21,No,,Student,,1994,Yes,No,,Not provided,Not provided,Not provided,No,,,No,,0
Undergraduate,,,Engineering,Australia,Canada,Ireland,01-01-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,10 - 20 lakhs,Bank loan,Own business,No,,,Yes,none,0
Postgraduate,,,Graphics,Australia,,,01-09-21,No,,Student,,1997,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Canada,UK,,01-09-21,No,,Student,,1997,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,6.5,Yes,,0
Postgraduate,,,Engineering,UK,USA,New Zealand,01-01-21,No,,Working professional,4 - 6 years of work exp,1994,Yes,No,,Not provided,Not provided,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,USA,UK,Australia,01-09-21,Yes,No,Student,,1998,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Undergraduate,,,Sciences,Canada,Australia,USA,01-09-21,No,,Student,,2001,No,No,,Not provided,Not provided,In-Service,No,,,No,,0
Postgraduate,,,MBA,USA,,,01-09-21,Yes,No,Student,,2000,No,No,,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Vocational,,,Physical Education,Canada,,,01-01-21,No,,Working professional,7+ years of work exp,1983,Yes,No,,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Postgraduate,,,Other,Canada,,,01-09-21,No,,Student,,2001,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,BDS,UK,USA,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Aviation,UK,Ireland,,01-09-21,No,,Student,,1997,Yes,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,,0
